prompt_key,prompt_style,language,condition,num_images,accuracy,word_bias_rate,background_bias_rate,other_error_rate
exact_ink_color,exact,arabic,background_conflict,5000,0.2092,0.0014,0.776,0.0134
exact_ink_color,exact,arabic,congruent,5000,0.7832,0.0,0.1184,0.0984
exact_ink_color,exact,arabic,incongruent,5000,0.7914,0.0302,0.0906,0.0878
exact_ink_color,exact,arabic,neutral,5000,0.8046,0.0,0.0836,0.1118
exact_ink_color,exact,chinese,background_conflict,5000,0.2762,0.0028,0.7098,0.0112
exact_ink_color,exact,chinese,congruent,5000,0.799,0.0,0.0582,0.1428
exact_ink_color,exact,chinese,incongruent,5000,0.8082,0.0208,0.081,0.09
exact_ink_color,exact,chinese,neutral,5000,0.796,0.0,0.088,0.116
exact_ink_color,exact,english,background_conflict,5000,0.0512,0.8858,0.063,0.0
exact_ink_color,exact,english,congruent,5000,1.0,0.0,0.0,0.0
exact_ink_color,exact,english,incongruent,5000,0.083,0.917,0.0,0.0
exact_ink_color,exact,english,neutral,5000,0.8096,0.0,0.0212,0.1692
exact_ink_color,exact,hindi,background_conflict,5000,0.268,0.0008,0.725,0.0062
exact_ink_color,exact,hindi,congruent,5000,0.7352,0.0,0.2592,0.0056
exact_ink_color,exact,hindi,incongruent,5000,0.743,0.0326,0.2096,0.0148
exact_ink_color,exact,hindi,neutral,5000,0.7426,0.0,0.2406,0.0168
